chr	start	end	amplicon_number	gene_name	cytoband	giestain
chr2	128037890	128038154	AMPL250243	ERCC3	q14.3	gpos50
chr2	128050165	128050434	AMPL250245	ERCC3	q14.3	gpos50
chr2	148602594	148602863	AMPL244809	ACVR2A	q22.3	gpos100
chr2	148653850	148654099	AMPL244810	ACVR2A	q22.3	gpos100
chr2	148656945	148657167	AMPL253264	ACVR2A	q22.3	gpos100
chr2	148657299	148657496	AMPL244812	ACVR2A	q22.3	gpos100
chr2	148672690	148672933	AMPL244813	ACVR2A	q22.3	gpos100
chr2	148674798	148675033	AMPL8463	ACVR2A	q22.3	gpos100
chr2	148675945	148676191	AMPL244815	ACVR2A	q22.3	gpos100
chr2	148677700	148677942	AMPL244816	ACVR2A	q22.3	gpos100
chr2	148680486	148680735	AMPL244817	ACVR2A	q22.3	gpos100
chr2	148683522	148683759	AMPL244818	ACVR2A	q22.3	gpos100
chr2	148684605	148684854	AMPL244819	ACVR2A	q22.3	gpos100
chr2	198266496	198266737	AMPL253273	SF3B1	q33.1	gneg
chr2	203329505	203329736	AMPL253274	BMPR2	q33.2	gpos50
chr2	203332183	203332431	AMPL244822	BMPR2	q33.2	gpos50
chr2	203379460	203379729	AMPL253276	BMPR2	q33.2	gpos50
chr2	203383546	203383805	AMPL253277	BMPR2	q33.2	gpos50
chr2	203384717	203384959	AMPL253278	BMPR2	q33.2	gpos50
chr2	203395460	203395709	AMPL253279	BMPR2	q33.2	gpos50
chr2	203397259	203397512	AMPL244828	BMPR2	q33.2	gpos50
chr2	203406999	203407209	AMPL244829	BMPR2	q33.2	gpos50
chr2	203417410	203417637	AMPL244830	BMPR2	q33.2	gpos50
chr2	203419893	203420162	AMPL253283	BMPR2	q33.2	gpos50
chr2	209113061	209113313	AMPL257586	IDH1	q34	gpos100
chr2	215609656	215609925	AMPL239235	BARD1	q35	gneg
chr2	215645738	215646007	AMPL250249	BARD1	q35	gneg
chr2	232576972	232577237	AMPL250251	PTMA	q37.1	gneg
chr2	241660236	241660476	AMPL257588	KIF1A	q37.3	gneg
chr2	241724299	241724534	AMPL253289	KIF1A	q37.3	gneg
chr3	9793308	9793577	AMPL250253	OGG1	p25.3	gneg
chr3	10085308	10085577	AMPL251135	FANCD2	p25.3	gneg
chr3	12632169	12632419	AMPL253292	RAF1	p25.2	gpos25
chr3	30648409	30648638	AMPL165734	TGFBR2	p24.1	gpos75
chr3	30664572	30664819	AMPL165735	TGFBR2	p24.1	gpos75
chr3	30686198	30686447	AMPL253295	TGFBR2	p24.1	gpos75
chr3	30691728	30691977	AMPL59152	TGFBR2	p24.1	gpos75
chr3	30713103	30713352	AMPL253297	TGFBR2	p24.1	gpos75
chr3	30713358	30713625	AMPL249250	TGFBR2	p24.1	gpos75
chr3	30713635	30713898	AMPL249251	TGFBR2	p24.1	gpos75
chr3	30713899	30714099	AMPL253300	TGFBR2	p24.1	gpos75
chr3	30715514	30715758	AMPL165742	TGFBR2	p24.1	gpos75
chr3	30729792	30730028	AMPL165743	TGFBR2	p24.1	gpos75
chr3	30732879	30733128	AMPL165744	TGFBR2	p24.1	gpos75
chr3	37053114	37053377	AMPL250255	MLH1	p22.2	gneg
chr3	37067256	37067525	AMPL251137	MLH1	p22.2	gneg
chr3	38522747	38522995	AMPL244843	ACVR2B	p22.2	gneg
chr3	38523604	38523863	AMPL248805	ACVR2B	p22.2	gneg
chr3	38523864	38524053	AMPL248806	ACVR2B	p22.2	gneg
chr3	38524465	38524734	AMPL248807	ACVR2B	p22.2	gneg
chr3	39116169	39116438	AMPL251138	WDR48	p22.2	gneg
chr3	41265883	41266152	AMPL253311	CTNNB1	p22.1	gpos75
chr3	41274868	41275137	AMPL253312	CTNNB1	p22.1	gpos75
chr3	47079002	47079271	AMPL250256	SETD2	p21.31	gneg
chr3	47161713	47161982	AMPL251140	SETD2	p21.31	gneg
chr3	47651543	47651812	AMPL251141	SMARCC1	p21.31	gneg
chr3	52436628	52436848	AMPL251142	BAP1	p21.1	gneg
chr3	52437092	52437345	AMPL252824	BAP1	p21.1	gneg
chr3	52437645	52437914	AMPL252825	BAP1	p21.1	gneg
chr3	52440186	52440455	AMPL252826	BAP1	p21.1	gneg
chr3	52441161	52441427	AMPL252827	BAP1	p21.1	gneg
chr3	52442403	52442652	AMPL121707	BAP1	p21.1	gneg
chr3	52637302	52637571	AMPL248809	PBRM1	p21.1	gneg
chr3	69928283	69928551	AMPL251144	MITF	p13	gneg
chr3	121178799	121179050	AMPL250258	POLQ	q13.33	gpos75
chr3	121212382	121212634	AMPL250259	POLQ	q13.33	gpos75
chr3	133376612	133376827	AMPL257594	TOPBP1	q22.1	gpos25
chr3	134967093	134967362	AMPL250260	EPHB1	q22.2	gneg
chr3	142226639	142226907	AMPL250261	ATR	q23	gneg
chr3	142272008	142272252	AMPL257595	ATR	q23	gneg
chr3	178935908	178936140	AMPL40482	PIK3CA	q26.32	gneg
chr3	178951770	178952024	AMPL253331	PIK3CA	q26.32	gneg
chr3	189604049	189604318	AMPL251151	TP63	q28	gpos75
chr3	196198626	196198895	AMPL251152	RNF168	q29	gneg
chr4	1807044	1807312	AMPL251153	FGFR3	p16.3	gneg
chr4	1902338	1902604	AMPL250264	WHSC1	p16.3	gneg
chr4	2074570	2074787	AMPL257597	POLN	p16.3	gneg
chr4	2209844	2210093	AMPL250265	POLN	p16.3	gneg
chr4	55129820	55130070	AMPL251157	PDGFRA	q12	gneg
chr4	55136738	55136951	AMPL13842	PDGFRA	q12	gneg
chr4	55151406	55151675	AMPL251159	PDGFRA	q12	gneg
chr4	55980236	55980480	AMPL52291	KDR	q12	gneg
chr4	84391154	84391423	AMPL250267	FAM175A	q21.23	gpos25
chr4	95972676	95972945	AMPL244847	BMPR1B	q22.3	gpos75
chr4	96025531	96025782	AMPL253924	BMPR1B	q22.3	gpos75
chr4	96035762	96036011	AMPL253343	BMPR1B	q22.3	gpos75
chr4	96036774	96036980	AMPL244850	BMPR1B	q22.3	gpos75
chr4	96044915	96045128	AMPL244851	BMPR1B	q22.3	gpos75
chr4	96046077	96046325	AMPL253345	BMPR1B	q22.3	gpos75
chr4	96050984	96051227	AMPL244853	BMPR1B	q22.3	gpos75
chr4	96052177	96052380	AMPL253347	BMPR1B	q22.3	gpos75
chr4	96052383	96052645	AMPL244854	BMPR1B	q22.3	gpos75
chr4	96069859	96070108	AMPL253349	BMPR1B	q22.3	gpos75
chr4	96073698	96073947	AMPL244856	BMPR1B	q22.3	gpos75
chr4	96075617	96075849	AMPL244857	BMPR1B	q22.3	gpos75
chr4	106156469	106156733	AMPL250268	TET2	q24	gpos50
chr4	109002580	109002849	AMPL257600	LEF1	q25	gneg
chr4	126239692	126239960	AMPL251162	FAT4	q28.1	gpos50
chr4	126327925	126328160	AMPL177159	FAT4	q28.1	gpos50
chr4	126367334	126367603	AMPL250270	FAT4	q28.1	gpos50
chr4	153246931	153247195	AMPL253357	FBXW7	q31.3	gneg
chr4	153249262	153249531	AMPL253358	FBXW7	q31.3	gneg
chr4	187538909	187539178	AMPL248826	FAT1	q35.2	gpos25
chr5	1266435	1266632	AMPL250271	TERT	p15.33	gneg
chr5	6743736	6743985	AMPL257602	PAPD7	p15.31	gneg
chr5	37038633	37038872	AMPL257603	NIPBL	p13.2	gpos25
chr5	38949923	38950192	AMPL248830	RICTOR	p13.1	gneg
chr5	38953513	38953741	AMPL250274	RICTOR	p13.1	gneg
chr5	56181741	56181956	AMPL119939	MAP3K1	q11.2	gneg
chr5	68667157	68667426	AMPL250276	RAD17	q13.2	gpos50
chr5	79967937	79968205	AMPL257605	MSH3	q14.1	gpos50
chr5	79970690	79970947	AMPL251171	MSH3	q14.1	gpos50
chr5	98191921	98192190	AMPL251172	CHD1	q15	gneg
chr5	98207709	98207939	AMPL257606	CHD1	q21.1	gpos100
chr5	98208088	98208325	AMPL166269	CHD1	q21.1	gpos100
chr5	112157464	112157733	AMPL115555	APC	q22.2	gpos50
chr5	112175147	112175416	AMPL250279	APC	q22.2	gpos50
chr5	112177915	112178184	AMPL250280	APC	q22.2	gpos50
chr5	138239889	138240158	AMPL253375	CTNNA1	q31.2	gpos25
chr6	407260	407510	AMPL250282	IRF4	p25.3	gneg
chr6	7229211	7229455	AMPL257608	RREB1	p24.3	gpos50
chr6	7229485	7229677	AMPL257918	RREB1	p24.3	gpos50
chr6	7229731	7229986	AMPL253379	RREB1	p24.3	gpos50
chr6	7230362	7230625	AMPL248841	RREB1	p24.3	gpos50
chr6	26156490	26156751	AMPL250283	HIST1H1E	p22.2	gneg
chr6	26197144	26197412	AMPL251179	HIST1H3D	p22.2	gneg
chr6	26270995	26271264	AMPL250284	HIST1H3G	p22.2	gneg
chr6	27839836	27840076	AMPL250285	HIST1H3I	p22.1	gpos50
chr6	31710491	31710760	AMPL257609	MSH5	p21.33	gneg
chr6	31860038	31860307	AMPL248842	EHMT2	p21.33	gneg
chr6	33286825	33287018	AMPL248843	DAXX	p21.32	gpos25
chr6	33287230	33287499	AMPL248844	DAXX	p21.32	gpos25
chr6	33288506	33288696	AMPL248845	DAXX	p21.32	gpos25
chr6	33288895	33289164	AMPL253390	DAXX	p21.32	gpos25
chr6	35425516	35425785	AMPL221874	FANCE	p21.31	gneg
chr6	52149390	52149634	AMPL250288	MCM3	p12.2	gneg
chr6	80715504	80715740	AMPL257611	TTK	q14.1	gpos50
chr6	80751699	80751942	AMPL251185	TTK	q14.1	gpos50
chr6	101037705	101037974	AMPL251186	ASCC3	q16.3	gpos100
chr6	101099392	101099650	AMPL257612	ASCC3	q16.3	gpos100
chr6	111628542	111628804	AMPL257613	REV3L	q21	gneg
chr6	157099133	157099392	AMPL177184	ARID1B	q25.3	gneg
chr6	157469821	157470083	AMPL250290	ARID1B	q25.3	gneg
chr6	157495026	157495272	AMPL257614	ARID1B	q25.3	gneg
chr6	157502074	157502328	AMPL253401	ARID1B	q25.3	gneg
chr6	157505386	157505643	AMPL248849	ARID1B	q25.3	gneg
chr6	157510692	157510941	AMPL119983	ARID1B	q25.3	gneg
chr6	157521789	157522058	AMPL250291	ARID1B	q25.3	gneg
chr6	157528154	157528423	AMPL253405	ARID1B	q25.3	gneg
chr6	157528424	157528666	AMPL253406	ARID1B	q25.3	gneg
chr6	162683499	162683752	AMPL251192	PARK2	q26	gpos50
chr7	2962728	2962989	AMPL151964	CARD11	p22.2	gpos25
chr7	6045454	6045666	AMPL250293	PMS2	p22.1	gneg
chr7	40172533	40172790	AMPL250294	MPLKIP	p14.1	gpos75
chr7	41729164	41729426	AMPL253411	INHBA	p14.1	gpos75
chr7	41729856	41730103	AMPL253412	INHBA	p14.1	gpos75
chr7	44157081	44157350	AMPL250295	POLD2	p13	gneg
chr7	104731534	104731785	AMPL257617	KMT2E	q22.3	gneg
chr7	116340076	116340345	AMPL250296	MET	q31.2	gneg
chr7	128845348	128845614	AMPL250297	SMO	q32.1	gneg
chr7	140452949	140453205	AMPL113442	BRAF	q34	gneg
chr7	142649502	142649749	AMPL257618	KEL	q34	gneg
chr7	151851191	151851454	AMPL250298	KMT2C	q36.1	gneg
chr7	151877932	151878201	AMPL253420	KMT2C	q36.1	gneg
chr7	151878781	151878970	AMPL248866	KMT2C	q36.1	gneg
chr7	151879090	151879359	AMPL253422	KMT2C	q36.1	gneg
chr7	151884312	151884566	AMPL257621	KMT2C	q36.1	gneg
chr7	151926920	151927150	AMPL122652	KMT2C	q36.1	gneg
chr7	151935673	151935942	AMPL253425	KMT2C	q36.1	gneg
chr7	151944834	151945094	AMPL165609	KMT2C	q36.1	gneg
chr7	151962026	151962295	AMPL226340	KMT2C	q36.1	gneg
chr7	154745920	154746156	AMPL257623	PAXIP1	q36.2	gpos25
chr7	154760469	154760724	AMPL251202	PAXIP1	q36.2	gpos25
chr8	6288892	6289137	AMPL251203	MCPH1	p23.1	gneg
chr8	22547910	22548140	AMPL250300	EGR3	p21.3	gneg
chr8	30933644	30933897	AMPL257624	WRN	p12	gpos75
chr8	38271649	38271838	AMPL160274	FGFR1	p11.23	gneg
chr8	38271901	38272170	AMPL160275	FGFR1	p11.23	gneg
chr8	38275603	38275870	AMPL250301	FGFR1	p11.23	gneg
chr8	38314857	38315089	AMPL11982	FGFR1	p11.22	gpos25
chr8	42206363	42206632	AMPL251207	POLB	p11.21	gneg
chr8	48793841	48794110	AMPL257628	PRKDC	q11.21	gneg
chr8	56860051	56860320	AMPL257629	LYN	q12.1	gpos50
chr8	68950320	68950551	AMPL257630	PREX2	q13.2	gpos50
chr8	69027856	69028124	AMPL250304	PREX2	q13.2	gpos50
chr8	70970849	70971101	AMPL257631	PRDM14	q13.3	gneg
chr8	128748665	128748890	AMPL126740	MYC	q24.21	gpos50
chr8	128750506	128750755	AMPL143573	MYC	q24.21	gpos50
chr8	128750899	128751158	AMPL257985	MYC	q24.21	gpos50
chr8	128751161	128751350	AMPL257986	MYC	q24.21	gpos50
chr8	128752681	128752945	AMPL257987	MYC	q24.21	gpos50
chr8	128752947	128753201	AMPL257988	MYC	q24.21	gpos50
chr9	8465442	8465711	AMPL250307	PTPRD	p24.1	gneg
chr9	8470851	8471120	AMPL120016	PTPRD	p24.1	gneg
chr9	8636551	8636820	AMPL250309	PTPRD	p24.1	gneg
chr9	21968052	21968263	AMPL115655	CDKN2A	p21.3	gpos100
chr9	21968534	21968803	AMPL115656	CDKN2A	p21.3	gpos100
chr9	21970743	21970986	AMPL115657	CDKN2A	p21.3	gpos100
chr9	21971188	21971377	AMPL113204	CDKN2A	p21.3	gpos100
chr9	21974466	21974717	AMPL4077	CDKN2A	p21.3	gpos100
chr9	21994089	21994338	AMPL115660	CDKN2A	p21.3	gpos100
chr9	101891114	101891357	AMPL253455	TGFBR1	q22.33	gneg
chr9	101894761	101895017	AMPL253456	TGFBR1	q22.33	gneg
chr9	101900145	101900393	AMPL165898	TGFBR1	q22.33	gneg
chr9	101904768	101905017	AMPL165899	TGFBR1	q22.33	gneg
chr9	101907000	101907248	AMPL165900	TGFBR1	q22.33	gneg
chr9	101908690	101908939	AMPL165901	TGFBR1	q22.33	gneg
chr9	101909859	101910108	AMPL165902	TGFBR1	q22.33	gneg
chr9	101911380	101911609	AMPL165903	TGFBR1	q22.33	gneg
chr9	131394406	131394663	AMPL257633	SPTAN1	q34.11	gneg
chr9	137293582	137293794	AMPL250312	RXRA	q34.2	gpos25
chr9	139391630	139391846	AMPL128656	NOTCH1	q34.3	gneg
chr10	50681408	50681667	AMPL251220	ERCC6	q11.23	gneg
chr10	68280296	68280498	AMPL248894	CTNNA3	q21.3	gpos100
chr10	88635627	88635874	AMPL242360	BMPR1A	q23.2	gneg
chr10	88649774	88650023	AMPL253469	BMPR1A	q23.2	gneg
chr10	88651769	88652018	AMPL253470	BMPR1A	q23.2	gneg
chr10	88659431	88659670	AMPL253471	BMPR1A	q23.2	gneg
chr10	88659695	88659940	AMPL242364	BMPR1A	q23.2	gneg
chr10	88671930	88672179	AMPL253472	BMPR1A	q23.2	gneg
chr10	88676853	88677102	AMPL242366	BMPR1A	q23.2	gneg
chr10	88678773	88678990	AMPL242367	BMPR1A	q23.2	gneg
chr10	88678992	88679246	AMPL242368	BMPR1A	q23.2	gneg
chr10	88681227	88681476	AMPL59786	BMPR1A	q23.2	gneg
chr10	88682940	88683164	AMPL253477	BMPR1A	q23.2	gneg
chr10	88683169	88683438	AMPL242370	BMPR1A	q23.2	gneg
chr10	89711797	89712043	AMPL257635	PTEN	q23.31	gpos75
chr10	89717559	89717808	AMPL257636	PTEN	q23.31	gpos75
chr10	114911957	114912219	AMPL250316	TCF7L2	q25.3	gpos75
chr10	131506080	131506329	AMPL257637	MGMT	q26.3	gneg
chr11	4153426	4153675	AMPL257638	RRM1	p15.4	gpos50
chr11	14315933	14316180	AMPL251225	RRAS2	p15.2	gpos50
chr11	57572043	57572281	AMPL250318	CTNND1	q12.1	gpos75
chr11	63665553	63665782	AMPL257639	MARK2	q13.1	gneg
chr11	63667291	63667547	AMPL251228	MARK2	q13.1	gneg
chr11	64572455	64572701	AMPL249436	MEN1	q13.1	gneg
chr11	64573630	64573864	AMPL13179	MEN1	q13.1	gneg
chr11	64574330	64574599	AMPL253490	MEN1	q13.1	gneg
chr11	64577092	64577361	AMPL253491	MEN1	q13.1	gneg
chr11	65480160	65480428	AMPL252829	KAT5	q13.1	gneg
chr11	65481024	65481293	AMPL252830	KAT5	q13.1	gneg
chr11	65481844	65482113	AMPL252831	KAT5	q13.1	gneg
chr11	65484149	65484418	AMPL252832	KAT5	q13.1	gneg
chr11	65486013	65486262	AMPL257645	KAT5	q13.1	gneg
chr11	65486342	65486611	AMPL252834	KAT5	q13.1	gneg
chr11	65631132	65631383	AMPL252605	MUS81	q13.1	gneg
chr11	65631975	65632244	AMPL250319	MUS81	q13.1	gneg
chr11	67163159	67163428	AMPL251230	RAD9A	q13.2	gpos25
chr11	67198798	67198997	AMPL250320	RPS6KB2	q13.2	gpos25
chr11	71940008	71940252	AMPL250321	INPPL1	q13.4	gpos50
chr11	71943596	71943845	AMPL257654	INPPL1	q13.4	gpos50
chr11	92577017	92577286	AMPL251234	FAT3	q14.3	gpos100
chr11	94170258	94170511	AMPL257655	MRE11A	q21	gneg
chr11	102207429	102207698	AMPL251236	BIRC3	q22.2	gneg
chr11	107879847	107880116	AMPL251237	CUL5	q22.3	gpos100
chr11	107920569	107920833	AMPL251238	CUL5	q22.3	gpos100
chr11	108099777	108100046	AMPL251239	ATM	q22.3	gpos100
chr11	108114672	108114918	AMPL44548	ATM	q22.3	gpos100
chr11	108115524	108115785	AMPL250326	ATM	q22.3	gpos100
chr11	108123462	108123711	AMPL117931	ATM	q22.3	gpos100
chr11	108163302	108163551	AMPL91658	ATM	q22.3	gpos100
chr11	108191914	108192183	AMPL253520	ATM	q22.3	gpos100
chr11	108202486	108202754	AMPL251243	ATM	q22.3	gpos100
chr11	108204548	108204801	AMPL257659	ATM	q22.3	gpos100
chr11	108206464	108206718	AMPL257660	ATM	q22.3	gpos100
chr11	108235854	108236120	AMPL113492	ATM	q22.3	gpos100
chr11	118343730	118343998	AMPL253525	KMT2A	q23.3	gneg
chr11	118344569	118344838	AMPL250327	KMT2A	q23.3	gneg
chr11	118366846	118367103	AMPL93658	KMT2A	q23.3	gneg
chr12	4662070	4662339	AMPL251245	RAD51AP1	p13.32	gpos25
chr12	6696406	6696675	AMPL253529	CHD4	p13.31	gneg
chr12	6709471	6709740	AMPL250328	CHD4	p13.31	gneg
chr12	14577576	14577832	AMPL250330	ATF7IP	p13.1	gneg
chr12	14589005	14589234	AMPL257664	ATF7IP	p13.1	gneg
chr12	18800693	18800962	AMPL251249	PIK3C2G	p12.3	gpos100
chr12	25362679	25362892	AMPL38584	KRAS	p12.1	gpos100
chr12	25368257	25368523	AMPL115373	KRAS	p12.1	gpos100
chr12	25378518	25378749	AMPL38586	KRAS	p12.1	gpos100
chr12	25380135	25380369	AMPL38587	KRAS	p12.1	gpos100
chr12	25398126	25398375	AMPL115376	KRAS	p12.1	gpos100
chr12	46230498	46230737	AMPL253539	ARID2	q12	gpos100
chr12	46231187	46231436	AMPL253540	ARID2	q12	gpos100
chr12	46243839	46244108	AMPL253541	ARID2	q12	gpos100
chr12	46244674	46244943	AMPL248928	ARID2	q12	gpos100
chr12	46245372	46245641	AMPL248929	ARID2	q12	gpos100
chr12	46254538	46254727	AMPL235278	ARID2	q12	gpos100
chr12	49415700	49415959	AMPL117568	KMT2D	q13.12	gpos25
chr12	49419785	49420054	AMPL250334	KMT2D	q13.12	gpos25
chr12	49424006	49424255	AMPL118221	KMT2D	q13.12	gpos25
chr12	49425302	49425561	AMPL250335	KMT2D	q13.12	gpos25
chr12	49433990	49434259	AMPL253549	KMT2D	q13.12	gpos25
chr12	49439964	49440233	AMPL253550	KMT2D	q13.12	gpos25
chr12	49444534	49444790	AMPL248935	KMT2D	q13.12	gpos25
chr12	52369029	52369284	AMPL244869	ACVR1B	q13.13	gneg
chr12	52370111	52370379	AMPL253553	ACVR1B	q13.13	gneg
chr12	52374743	52375003	AMPL249492	ACVR1B	q13.13	gneg
chr12	52376373	52376622	AMPL244872	ACVR1B	q13.13	gneg
chr12	52377720	52377969	AMPL244873	ACVR1B	q13.13	gneg
chr12	52378915	52379162	AMPL244874	ACVR1B	q13.13	gneg
chr12	52380509	52380758	AMPL244875	ACVR1B	q13.13	gneg
chr12	52385548	52385797	AMPL244876	ACVR1B	q13.13	gneg
chr12	52387687	52387936	AMPL244877	ACVR1B	q13.13	gneg
chr12	56481513	56481730	AMPL257667	ERBB3	q13.2	gpos25
chr12	56495368	56495637	AMPL250338	ERBB3	q13.2	gpos25
chr12	115109941	115110130	AMPL250339	TBX3	q24.21	gpos50
chr12	118457367	118457613	AMPL257668	RFC5	q24.23	gpos50
chr12	120554401	120554590	AMPL250340	RAB35	q24.23	gpos50
chr12	133235679	133235948	AMPL250341	POLE	q24.33	gneg
chr12	133252553	133252822	AMPL160828	POLE	q24.33	gneg
chr13	23904720	23904989	AMPL253568	SACS	q12.12	gpos25
chr13	25052186	25052455	AMPL251263	PARP4	q12.12	gpos25
chr13	28626630	28626872	AMPL44712	FLT3	q12.2	gpos25
chr13	28882840	28883109	AMPL141884	FLT1	q12.2	gpos25
chr13	32907205	32907452	AMPL253572	BRCA2	q13.1	gpos50
chr13	32911324	32911574	AMPL253573	BRCA2	q13.1	gpos50
chr13	32912907	32913176	AMPL253574	BRCA2	q13.1	gpos50
chr13	32913179	32913448	AMPL248950	BRCA2	q13.1	gpos50
chr13	32913636	32913882	AMPL41864	BRCA2	q13.1	gpos50
chr13	32913979	32914242	AMPL253577	BRCA2	q13.1	gpos50
chr13	32914255	32914465	AMPL250344	BRCA2	q13.1	gpos50
chr13	32915136	32915405	AMPL250345	BRCA2	q13.1	gpos50
chr13	32929036	32929305	AMPL253580	BRCA2	q13.1	gpos50
chr13	32931853	32932116	AMPL253581	BRCA2	q13.1	gpos50
chr13	32936630	32936876	AMPL38486	BRCA2	q13.1	gpos50
chr13	32937261	32937510	AMPL253583	BRCA2	q13.1	gpos50
chr13	32944520	32944771	AMPL253584	BRCA2	q13.1	gpos50
chr13	32953834	32954099	AMPL253585	BRCA2	q13.1	gpos50
chr13	32968721	32968980	AMPL253586	BRCA2	q13.1	gpos50
chr13	32970967	32971235	AMPL253587	BRCA2	q13.1	gpos50
chr13	32972297	32972558	AMPL253588	BRCA2	q13.1	gpos50
chr13	49027015	49027284	AMPL253589	RB1	q14.2	gpos50
chr13	49050758	49051007	AMPL51946	RB1	q14.2	gpos50
q	20818551	20818820	AMPL257674	PARP2	q11.2	gneg
chr14	23393138	23393407	AMPL251275	PRMT5	q11.2	gneg
chr14	30093241	30093510	AMPL250349	PRKD1	q12	gpos100
chr14	30099758	30099993	AMPL250350	PRKD1	q12	gpos100
chr14	31077066	31077258	AMPL251278	G2E3	q12	gpos100
chr14	36989203	36989452	AMPL257675	NKX2	q13.3	gneg
chr14	75508180	75508425	AMPL257676	MLH3	q24.3	gneg
chr14	75514509	75514762	AMPL250352	MLH3	q24.3	gneg
chr14	92537209	92537478	AMPL251281	ATXN3	q32.12	gpos25
chr14	103342573	103342842	AMPL250353	TRAF3	q32.32	gpos50
chr14	105242879	105243140	AMPL115769	AKT1	q32.33	gneg
chr15	28421980	28422249	AMPL251284	HERC2	q13.1	gneg
chr15	38545231	38545440	AMPL251285	SPRED1	q14	gpos75
chr15	41274936	41275195	AMPL251286	INO80	q15.1	gneg
chr15	43748334	43748603	AMPL250355	TP53BP1	q15.3	gneg
chr15	59322797	59323058	AMPL250357	RNF111	q22.2	gpos25
chr15	66729008	66729252	AMPL257678	MAP2K1	q22.31	gneg
